PRODUCT_FULL_SEGMENTS_NUMBER,PRODUCT_NAME,PRODUCT_PACKAGE_DESCRIPTION,ITEM_NET_WEIGHT,COMPANY_COUNTRY,STATE,ONHANDQTY,EXPIREDQTY,BLOCKEDQTY,INTRANSITQTY,ONPOQTY,SOOTHER,POOTHER,SUPPLYOP,Q_SO,Q_SB,N30D_SO,TOTAL_DEMAND,ITEM_GROUP,STOCKINGTYPE,INVENTORYTYPE,VENDOR_NAME,LOCAL_PRODUCTMANAGER_NAME,PRODUCT_PRINCIPAL_NAME,INVENTORY_OWNERSHIP,BUYER_NAME,COO,LEADTIME,SHELFLIFE,MIN_DAYS,MAX_DAYS,IDEAL_PIPELINE,LEADTIMELEVEL,SHELFLIFEDAYS,MOQ,PALLET_SIZE,UNITSPERCONTAINER,H_ADU,FCST_TOTAL,UNITCOST,PERCENTAGE,F_ADU,SOH_DC,INTRANSIT_DC,ONPO_DC,NAT_SOH_DC,NAT_INTRANSIT_DC,NAT_ONPO_DC,ROW_NET_POSITION,NAT_NET_POSITION,NAT_PIPELINE_DC,ROW_PIPELINE_DC,RAW_ORDER_QTY,ORDER_QTY,ORDER_DC,STOCK_STATUS,ORDER_AMOUNT,OVERSTOCK_VALUE
456888AIR,METHOCEL 240S,20 KG bag,20.0,Australia,NSW,3040.000,0.000,0.000,0.000,1600.000,0.000,0.000,1600.000,40.000,0.000,0.000,40.000,N1 - Non hazardous/Non dangerous,S,B,NUTRITION & BIOSCIENCES AUSTRALIA P/L ,"ALIZADEH, KIMIA",ROQUETTE FRERES ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",DE,200.00000,762.00000,30,60,260,200,762,4000.000,,1,6.21,17.57,10.77,0.35,6.07,500.82,0.00,263.59,173.02,0.00,364.26,4600.000,9360.000,537.28,764.41,0.00,0.0,0.0,Overstock,0.0,34936.47
275912ACR,GARAMITE-7303,10 kg bag,10.0,Australia,VIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,I,BYK USA INC. ,"DE LANGE, CHRISTO",ALTANA AG ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",US,150.00000,1825.00000,0,0,0,150,1825,800.000,,1,7.70,17.56,20.34,1.00,17.56,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
4425210VP,EKWIP U70 18.2 X 13.4,800 unit box,1.0,Australia,VIC,2400.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2400.000,0.000,2400.000,2400.000,N1 - Non hazardous/Non dangerous,S,F,IMCD AUSTRALIA PTY LTD ,NATHAN SCHULTZ,IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",AU,21.00000,1825.00000,0,0,0,21,1825,63.000,,1,10.35,17.56,0.34,0.50,8.81,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
4425210VP,EKWIP U70 18.2 X 13.4,800 unit box,1.0,Australia,NSW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,F,IMCD AUSTRALIA PTY LTD ,NATHAN SCHULTZ,IMCD AUSTRALIA LIMITED,61121 - AU Home Care I&I HC,"MICHALIK, KYAN",AU,21.00000,1825.00000,0,0,0,21,1825,63.000,,1,10.27,17.56,,0.50,8.75,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,,0.00
275912ACR,GARAMITE-7303,10 kg bag,10.0,Australia,NSW,90.000,90.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,U,I,BYK USA INC. ,"DE LANGE, CHRISTO",ALTANA AG ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",US,150.00000,1825.00000,0,0,0,150,1825,800.000,,1,0.00,17.56,10.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.0,0.0,Healthy,0.0,0.00
200011CSR,NEOCRYL AF-10,1.050 kg Container,1050.0,Australia,VIC,0.000,0.000,0.000,1050.000,0.000,0.000,0.000,1050.000,3150.000,0.000,0.000,3150.000,N1 - Non hazardous/Non dangerous,S,M,COVESTRO PTY LTD ,GRAEME VAN GREUNEN,COVESTRO ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",NL,150.00000,274.00000,30,60,210,150,274,1050.000,,1,10.66,17.42,10.50,1.00,17.42,0.00,60.28,0.00,0.00,60.28,0.00,-2100.000,-2100.000,60.28,60.28,1045.20,1050.0,60.28,Stockout Risk,11025.0,0.00
200035CSR,NEOCRYL XK-14,1050 kg Container,1050.0,Australia,NSW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,C,COVESTRO PTY LTD ,GRAEME VAN GREUNEN,COVESTRO ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",NL,150.00000,365.00000,0,0,0,150,365,1050.000,1.0000,1,15.50,17.30,4.13,1.00,17.30,0.00,0.00,0.00,0.00,60.69,0.00,0.000,1050.000,60.69,0.00,0.00,0.0,0.0,Overstock,0.0,4336.50
200035CSR,NEOCRYL XK-14,1050 kg Container,1050.0,Australia,VIC,0.000,0.000,0.000,1050.000,0.000,0.000,0.000,1050.000,0.000,0.000,0.000,0.000,N1 - Non hazardous/Non dangerous,S,C,COVESTRO PTY LTD ,GRAEME VAN GREUNEN,COVESTRO ,61122 - AU Coatings-Constructions C&C,"MICHALIK, KYAN",NL,150.00000,365.00000,0,0,0,150,365,1050.000,1.0000,1,0.00,17.30,3.71,0.00,0.00,0.00,0.00,0.00,0.00,60.69,0.00,1050.000,1050.000,60.69,0.00,0.00,0.0,0.0,Overstock,0.0,3895.50
450899EKR,COLALIPID C MB -1787,218 kg drum,218.0,Australia,VIC,0.000,0.000,0.000,3488.000,0.000,0.000,0.000,3488.000,1744.000,0.000,872.000,1744.000,D1 - Dangerous & hazardous product,S,B,COLONIAL CHEMICAL INC ,"POWER, CARMEL","CCI - COLONIAL CHEMICALS, INC. ",61128 - AU Beauty & Personal Care BPC,SCOTT JOHNSON,US,180.00000,730.00000,30,60,240,180,730,1744.000,,1,5.64,17.25,16.49,0.64,11.02,-79.13,316.52,0.00,-50.55,202.20,50.55,1744.000,2616.000,202.20,237.39,0.00,0.0,0.0,Low Stock,0.0,0.00
450899EKR,COLALIPID C MB -1787,218 kg drum,218.0,Australia,NSW,0.000,0.000,0.000,0.000,872.000,0.000,0.000,872.000,0.000,0.000,0.000,0.000,D1 - Dangerous & hazardous product,S,B,COLONIAL CHEMICAL INC ,"POWER, CARMEL","CCI - COLONIAL CHEMICALS, INC. ",61128 - AU Beauty & Personal Care BPC,SCOTT JOHNSON,US,180.00000,730.00000,30,60,240,180,730,1744.000,,1,3.19,17.25,18.93,0.36,6.23,0.00,0.00,139.97,-50.55,202.20,50.55,872.000,2616.000,202.20,139.97,373.80,1744.0,279.94,Low Stock,33013.92,0.00
474238FHR,METHOCEL K15M PREMIUM CR,25 kg drum,25.0,Australia,VIC,0.000,0.000,0.000,0.000,2100.000,0.000,0.000,2100.000,2100.000,0.000,0.000,2100.000,N1 - Non hazardous/Non dangerous,S,C,IMCD MALAYSIA SDN. BHD ,CHARLES MOORE,ROQUETTE FRERES ,61127 - AU Pharma - Nutraceuticals PH,SCOTT JOHNSON,US,200.00000,1825.00000,0,0,0,200,1825,75.000,12.0000,1,17.71,17.23,45.56,1.00,17.23,0.00,0.00,121.88,0.00,0.00,121.88,0.000,0.000,121.88,121.88,0.00,0.0,0.0,Healthy,0.0,0.00
